2.60,1360.00,150.00,11.88,1045.50,166.00,1056.25,113.00,1692.00,1267.50,13.60,48.88,0.76,,
2.00,1292.25,112.00,9.40,954.75,103.00,1173.75,92.00,1558.75,972.25,13.30,47.70,0.73,,
2.20,1402.00,88.00,9.00,939.25,131.00,1140.00,114.00,1554.50,1074.00,11.90,53.98,0.75,,
2.20,1375.50,80.00,9.23,948.25,172.00,1092.00,122.00,1583.75,1203.25,11.00,60.00,0.79,,
1.60,1272.25,51.00,6.52,835.50,131.00,1205.00,116.00,1490.00,1110.00,11.15,59.58,0.79,,
1.20,1197.00,38.00,4.74,750.25,89.00,1336.50,96.00,1393.00,949.25,11.18,59.18,0.78,,
1.20,1185.00,31.00,3.62,689.50,62.00,1461.75,77.00,1332.75,732.50,11.32,56.77,0.76,,
1.00,1136.25,31.00,3.33,672.00,62.00,1453.25,76.00,1332.75,729.50,10.67,60.00,0.77,,
0.90,1094.00,24.00,2.34,608.50,45.00,1579.00,60.00,1276.00,619.50,10.65,59.67,0.76,,
0.60,1009.75,19.00,1.70,560.75,-200.00,1705.00,-200.00,1234.75,501.25,10.25,60.20,0.75,,
-200.00,1011.00,14.00,1.29,526.75,21.00,1817.50,34.00,1196.75,445.25,10.08,60.47,0.75,,
0.70,1066.00,8.00,1.13,512.00,16.00,1918.00,28.00,1182.00,421.75,11.00,56.18,0.74,,
0.70,1051.75,16.00,1.60,553.25,34.00,1738.25,48.00,1221.25,471.50,10.45,58.13,0.74,,
1.10,1144.00,29.00,3.24,667.00,98.00,1489.75,82.00,1339.00,729.75,10.20,59.60,0.74,,
2.00,1333.25,64.00,8.01,899.75,174.00,1136.00,112.00,1517.00,1101.50,10.75,57.43,0.74,,
2.20,1351.00,87.00,9.54,960.25,129.00,1079.00,101.00,1582.75,1027.75,10.50,60.60,0.77,,
1.70,1233.25,77.00,6.34,827.25,112.00,1218.00,98.00,1445.75,859.75,10.80,58.35,0.76,,
1.50,1178.75,43.00,4.97,762.00,95.00,1327.50,92.00,1361.75,670.50,10.50,57.93,0.74,,
1.60,1236.00,61.00,5.22,774.25,104.00,1301.25,95.00,1401.25,664.00,9.52,66.77,0.80,,
1.90,1285.50,63.00,7.27,868.50,146.00,1162.25,112.00,1536.75,799.00,8.30,76.43,0.84,,
2.90,1371.00,164.00,11.54,1033.50,207.00,983.25,128.00,1730.25,1036.50,8.00,81.15,0.87,,
2.20,1310.00,79.00,8.83,932.50,184.00,1081.75,126.00,1646.50,946.25,8.33,79.80,0.88,,
2.20,1291.75,95.00,8.30,911.50,193.00,1102.50,131.00,1590.75,956.75,9.70,71.15,0.86,,
2.90,1383.00,150.00,11.15,1019.75,243.00,1008.00,135.00,1718.75,1104.00,9.78,67.62,0.82,,
4.80,1580.75,307.00,20.80,1318.50,281.00,798.50,151.00,2083.00,1408.50,10.35,64.17,0.81,,
6.90,1775.50,461.00,27.36,1487.75,383.00,702.25,172.00,2332.50,1704.00,9.65,69.30,0.83,,
6.10,1640.00,401.00,24.02,1404.00,351.00,742.75,165.00,2191.25,1653.75,9.65,67.75,0.81,,
3.90,1312.75,197.00,12.78,1076.25,240.00,957.25,136.00,1706.50,1284.75,9.13,63.97,0.74,,
1.50,964.50,61.00,4.71,748.50,94.00,1325.25,85.00,1332.50,821.00,8.18,63.40,0.69,,
1.00,912.75,26.00,2.65,629.25,47.00,1564.50,53.00,1252.25,551.75,8.25,60.82,0.67,,
1.70,1080.25,55.00,5.85,805.00,122.00,1253.50,97.00,1375.00,815.50,8.33,58.53,0.64,,
1.90,1043.75,53.00,6.37,829.00,133.00,1247.25,110.00,1378.25,831.50,7.73,59.67,0.63,,
1.40,987.75,40.00,4.13,718.00,82.00,1395.50,91.00,1303.50,691.50,7.13,61.80,0.63,,
0.80,888.75,21.00,1.87,574.25,-200.00,1680.25,-200.00,1187.00,512.00,6.98,62.27,0.63,,
-200.00,831.00,10.00,1.07,505.75,21.00,1892.75,32.00,1133.75,384.00,6.10,65.90,0.62,,
0.60,847.25,7.00,1.02,501.25,30.00,1894.50,44.00,1154.75,394.00,6.27,64.98,0.62,,
0.80,927.00,17.00,1.83,571.25,56.00,1684.75,71.00,1222.75,486.50,6.75,62.95,0.62,,
1.40,1090.50,33.00,4.36,730.25,109.00,1387.00,104.00,1360.75,748.25,6.45,65.08,0.63,,
4.40,1587.00,202.00,17.87,1235.50,307.00,896.50,141.00,1900.25,1400.25,7.33,63.15,0.65,,
-200.00,1544.50,-200.00,22.07,1353.00,-200.00,767.25,-200.00,2058.00,1587.75,9.23,56.20,0.66,,
3.10,1350.25,208.00,14.03,1117.50,187.00,912.00,122.00,1711.75,1237.00,13.22,41.75,0.63,,
2.70,1262.75,166.00,11.65,1037.25,216.00,969.00,143.00,1598.25,1166.50,14.33,38.45,0.62,,
2.10,1206.25,114.00,10.22,986.00,143.00,1034.50,113.00,1537.00,959.00,15.03,36.50,0.62,,
2.50,1251.50,140.00,11.04,1015.75,160.00,1007.50,116.00,1592.75,983.00,16.10,34.47,0.63,,
2.70,1287.00,169.00,12.82,1077.50,163.00,948.75,123.00,1660.25,1060.75,16.28,35.73,0.66,,
2.90,1352.75,185.00,14.17,1122.25,190.00,921.75,126.00,1740.00,1139.25,15.83,37.02,0.66,,
2.80,1309.00,165.00,12.69,1073.25,178.00,954.00,120.00,1657.25,1112.25,15.87,37.18,0.67,,
2.40,1274.00,133.00,11.74,1040.50,150.00,1005.75,119.00,1609.75,993.75,16.88,34.35,0.65,,
3.90,1509.50,233.00,19.29,1276.50,206.00,812.25,149.00,1909.75,1409.50,15.15,39.55,0.68,,
3.70,1525.25,242.00,18.23,1246.00,202.00,821.00,145.00,1846.75,1447.75,14.40,43.43,0.71,,
6.60,1843.00,488.00,32.56,1609.75,340.00,624.00,170.00,2390.25,1886.50,12.88,50.53,0.75,,
4.40,1597.75,333.00,20.09,1299.00,274.00,752.00,149.00,1940.50,1626.75,12.15,53.35,0.75,,
3.50,1483.50,215.00,14.32,1127.00,253.00,839.00,139.00,1723.00,1491.00,10.98,59.13,0.77,,
5.40,1677.25,367.00,21.81,1346.00,300.00,740.50,134.00,2062.00,1657.00,9.67,64.62,0.78,,
2.70,1279.50,122.00,9.64,964.00,193.00,962.50,113.00,1543.50,1285.25,9.45,64.13,0.76,,
1.90,1196.25,67.00,7.38,873.00,139.00,1071.25,97.00,1463.25,1144.25,9.15,63.90,0.74,,
1.60,1183.75,43.00,5.37,781.75,83.00,1176.25,82.00,1364.50,1042.75,8.80,63.92,0.73,,
1.70,1171.75,46.00,5.39,782.75,-200.00,1178.50,-200.00,1379.75,995.50,7.80,67.52,0.72,,
-200.00,1147.00,56.00,6.20,821.00,109.00,1132.25,83.00,1411.75,991.50,7.00,71.08,0.72,,
1.00,978.25,30.00,2.58,624.75,62.00,1420.25,65.00,1274.25,819.25,8.30,63.57,0.70,,
1.20,1099.50,27.00,2.91,646.25,53.00,1406.25,60.00,1267.50,835.00,7.20,67.48,0.69,,
1.50,1112.25,47.00,5.14,770.25,139.00,1228.00,77.00,1408.50,939.75,6.35,71.90,0.69,,
2.70,1335.50,132.00,11.82,1043.25,256.00,935.25,96.00,1678.00,1191.75,6.45,71.55,0.69,,
3.70,1408.33,239.00,15.14,1153.00,295.00,830.33,119.00,1776.67,1411.00,9.57,59.67,0.71,,
3.20,1447.00,160.00,12.91,1080.75,250.00,868.50,126.00,1666.75,1465.00,12.38,51.18,0.73,,
4.10,1541.50,283.00,16.13,1183.75,296.00,808.25,158.00,1779.75,1582.50,15.65,42.20,0.75,,
3.60,1451.25,210.00,14.02,1117.25,239.00,875.25,161.00,1679.25,1387.25,18.40,33.82,0.71,,
2.80,1328.25,154.00,12.28,1059.25,153.00,986.50,124.00,1599.50,1100.50,19.35,31.28,0.70,,
2.00,1206.50,112.00,8.62,924.25,118.00,1087.75,102.00,1488.25,849.75,18.02,34.80,0.71,,
2.00,1239.50,108.00,9.20,947.00,119.00,1049.00,116.00,1531.75,947.00,18.38,33.65,0.70,,
2.50,1306.00,111.00,10.24,986.75,138.00,1004.00,124.00,1554.00,1078.00,17.63,35.10,0.70,,
2.30,1326.00,97.00,10.61,1000.25,148.00,975.50,125.00,1601.50,1083.75,16.68,37.80,0.71,,
3.20,1472.75,191.00,15.45,1162.75,227.00,830.50,148.00,1779.00,1394.75,16.10,41.02,0.75,,
4.20,1609.00,258.00,19.64,1286.25,277.00,757.50,165.00,1922.00,1611.50,15.83,42.40,0.76,,
4.20,1610.75,284.00,19.20,1274.00,279.00,754.25,161.00,1915.00,1697.25,15.65,44.10,0.78,,
4.20,1620.50,269.00,18.27,1247.25,283.00,762.00,159.00,1860.00,1885.50,15.33,46.78,0.81,,
3.10,1444.25,180.00,13.14,1088.50,214.00,844.00,143.00,1747.50,1623.75,14.65,48.63,0.81,,
2.60,1418.00,116.00,10.87,1009.75,172.00,892.00,130.00,1603.00,1536.25,14.70,49.28,0.82,,
2.90,1533.50,93.00,10.96,1013.00,190.00,888.50,129.00,1610.75,1534.75,13.95,53.60,0.85,,
2.80,1483.50,131.00,11.86,1044.75,174.00,879.75,119.00,1624.25,1529.75,14.65,51.50,0.85,,
2.50,1366.75,92.00,8.62,924.50,128.00,952.50,104.00,1543.00,1337.00,12.55,58.90,0.85,,
2.40,1344.00,132.00,9.74,967.75,-200.00,920.50,-200.00,1619.75,1278.25,11.65,63.43,0.87,,
-200.00,1129.50,56.00,5.19,773.00,70.00,1130.25,82.00,1451.75,1050.50,12.10,61.10,0.86,,
1.20,1062.00,32.00,3.65,691.00,53.00,1271.50,70.00,1376.75,929.00,11.48,63.10,0.85,,
1.00,1075.75,29.00,2.48,618.25,44.00,1395.25,63.00,1333.00,872.25,11.60,62.15,0.85,,
0.90,1028.25,27.00,2.43,614.75,74.00,1383.50,67.00,1340.00,853.00,10.40,67.65,0.85,,
1.40,1154.50,36.00,4.21,722.25,101.00,1224.75,84.00,1413.75,959.25,11.57,62.67,0.85,,
1.60,1235.25,57.00,6.35,828.00,118.00,1055.25,83.00,1527.00,1093.25,12.42,60.00,0.86,,
2.20,1331.50,129.00,8.59,923.00,144.00,951.75,98.00,1613.75,1225.00,14.53,53.07,0.87,,
2.80,1444.75,148.00,10.86,1009.25,176.00,878.25,114.00,1696.00,1355.25,16.88,46.10,0.88,,
2.80,1415.50,145.00,10.66,1002.00,161.00,906.75,119.00,1676.50,1261.50,19.30,38.25,0.85,,
